lat,lon
-8.077395585585586,-34.90293024731183
-8.077395585585586,-34.90271617204301
-8.077395585585586,-34.90250209677419
-8.077395585585586,-34.90228802150538
-8.077395585585586,-34.902073946236555
-8.077395585585586,-34.90185987096774
-8.077395585585586,-34.901645795698926
-8.077395585585586,-34.90143172043011
-8.077395585585586,-34.90121764516129
-8.077395585585586,-34.901003569892474
-8.077395585585586,-34.90078949462366
-8.077395585585586,-34.90057541935484
-8.077395585585586,-34.90036134408602
-8.077395585585586,-34.90014726881721
-8.077395585585586,-34.899933193548385
-8.077395585585586,-34.89971911827957
-8.077395585585586,-34.899505043010755
-8.077395585585586,-34.89929096774193
-8.077395585585586,-34.89907689247312
-8.077395585585586,-34.898862817204304
-8.077395585585586,-34.89864874193548
-8.077395585585586,-34.89843466666667
-8.077395585585586,-34.89822059139785
-8.077395585585586,-34.89800651612903
-8.077395585585586,-34.897792440860215
-8.077395585585586,-34.8975783655914
-8.077395585585586,-34.89736429032258
-8.077395585585586,-34.89715021505376
-8.077395585585586,-34.89693613978495
-8.077395585585586,-34.896722064516126
-8.077395585585586,-34.89650798924731
-8.077395585585586,-34.8962939139785
-8.077395585585586,-34.896079838709674
-8.077395585585586,-34.89586576344086
-8.077395585585586,-34.895651688172045
-8.077395585585586,-34.89543761290322
-8.077395585585586,-34.89522353763441
-8.077395585585586,-34.89500946236559
-8.077395585585586,-34.89479538709678
-8.077395585585586,-34.894581311827956
-8.077395585585586,-34.89436723655914
-8.077395585585586,-34.894153161290326
-8.077395585585586,-34.893939086021504
-8.077395585585586,-34.89372501075269
-8.077395585585586,-34.893510935483874
-8.077395585585586,-34.89329686021505
-8.077395585585586,-34.89308278494624
-8.077395585585586,-34.89286870967742
-8.077395585585586,-34.8926546344086
-8.077395585585586,-34.892440559139786
-8.077395585585586,-34.89222648387097
-8.077395585585586,-34.89201240860215
-8.077395585585586,-34.891798333333334
-8.077395585585586,-34.89158425806452
-8.077395585585586,-34.8913701827957
-8.077395585585586,-34.89115610752688
-8.077395585585586,-34.89094203225807
-8.077395585585586,-34.890727956989245
-8.077395585585586,-34.89051388172043
-8.077395585585586,-34.890299806451615
-8.077395585585586,-34.89008573118279
-8.077395585585586,-34.88987165591398
-8.077395585585586,-34.889657580645164
-8.077395585585586,-34.88944350537634
-8.077395585585586,-34.88922943010753
-8.077395585585586,-34.88901535483871
-8.077395585585586,-34.88880127956989
-8.077395585585586,-34.888587204301075
-8.077395585585586,-34.88837312903226
-8.077395585585586,-34.888159053763445
-8.077395585585586,-34.88794497849462
-8.077395585585586,-34.88773090322581
-8.077395585585586,-34.88751682795699
-8.077395585585586,-34.88730275268817
-8.077395585585586,-34.88708867741936
-8.077395585585586,-34.88687460215054
-8.077395585585586,-34.88666052688172
-8.077395585585586,-34.886446451612905
-8.077395585585586,-34.88623237634409
-8.077395585585586,-34.88601830107527
-8.077395585585586,-34.88580422580645
-8.077395585585586,-34.88559015053764
-8.077395585585586,-34.885376075268816
-8.077245171171171,-34.905071
-8.077245171171171,-34.904856924731185
-8.077245171171171,-34.90464284946236
-8.077245171171171,-34.90442877419355
-8.077245171171171,-34.90421469892473
-8.077245171171171,-34.90400062365591
-8.077245171171171,-34.903786548387096
-8.077245171171171,-34.90357247311828
-8.077245171171171,-34.90335839784946
-8.077245171171171,-34.903144322580644
-8.077245171171171,-34.90293024731183
-8.077245171171171,-34.90271617204301
-8.077245171171171,-34.90250209677419
-8.077245171171171,-34.90228802150538
-8.077245171171171,-34.902073946236555
-8.077245171171171,-34.90185987096774
-8.077245171171171,-34.901645795698926
-8.077245171171171,-34.90143172043011
-8.077245171171171,-34.90121764516129
-8.077245171171171,-34.901003569892474
-8.077245171171171,-34.90078949462366
-8.077245171171171,-34.90057541935484
-8.077245171171171,-34.90036134408602
-8.077245171171171,-34.90014726881721
-8.077245171171171,-34.899933193548385
-8.077245171171171,-34.89971911827957
-8.077245171171171,-34.899505043010755
-8.077245171171171,-34.89929096774193
-8.077245171171171,-34.89907689247312
-8.077245171171171,-34.898862817204304
-8.077245171171171,-34.89864874193548
-8.077245171171171,-34.89843466666667
-8.077245171171171,-34.89822059139785
-8.077245171171171,-34.89800651612903
-8.077245171171171,-34.897792440860215
-8.077245171171171,-34.8975783655914
-8.077245171171171,-34.89736429032258
-8.077245171171171,-34.89715021505376
-8.077245171171171,-34.89693613978495
-8.077245171171171,-34.896722064516126
-8.077245171171171,-34.89650798924731
-8.077245171171171,-34.8962939139785
-8.077245171171171,-34.896079838709674
-8.077245171171171,-34.89586576344086
-8.077245171171171,-34.895651688172045
-8.077245171171171,-34.89543761290322
-8.077245171171171,-34.89522353763441
-8.077245171171171,-34.89500946236559
-8.077245171171171,-34.89479538709678
-8.077245171171171,-34.894581311827956
-8.077245171171171,-34.89436723655914
-8.077245171171171,-34.894153161290326
-8.077245171171171,-34.893939086021504
-8.077245171171171,-34.89372501075269
-8.077245171171171,-34.893510935483874
-8.077245171171171,-34.89329686021505
-8.077245171171171,-34.89308278494624
-8.077245171171171,-34.89286870967742
-8.077245171171171,-34.8926546344086
-8.077245171171171,-34.892440559139786
-8.077245171171171,-34.89222648387097
-8.077245171171171,-34.89201240860215
-8.077245171171171,-34.891798333333334
-8.077245171171171,-34.89158425806452
-8.077245171171171,-34.8913701827957
-8.077245171171171,-34.89115610752688
-8.077245171171171,-34.89094203225807
-8.077245171171171,-34.890727956989245
-8.077245171171171,-34.89051388172043
-8.077245171171171,-34.890299806451615
-8.077245171171171,-34.89008573118279
-8.077245171171171,-34.88987165591398
-8.077245171171171,-34.889657580645164
-8.077245171171171,-34.88944350537634
-8.077245171171171,-34.88922943010753
-8.077245171171171,-34.88901535483871
-8.077245171171171,-34.88880127956989
-8.077245171171171,-34.888587204301075
-8.077245171171171,-34.88837312903226
-8.077245171171171,-34.888159053763445
-8.077245171171171,-34.88794497849462
-8.077245171171171,-34.88773090322581
-8.077245171171171,-34.88751682795699
-8.077245171171171,-34.88730275268817
-8.077245171171171,-34.88708867741936
-8.077245171171171,-34.88687460215054
-8.077245171171171,-34.88666052688172
-8.077245171171171,-34.886446451612905
-8.077245171171171,-34.88623237634409
-8.077245171171171,-34.88601830107527
-8.077245171171171,-34.88580422580645
-8.077245171171171,-34.88559015053764
-8.077245171171171,-34.885376075268816
-8.077094756756757,-34.905071
-8.077094756756757,-34.904856924731185
-8.077094756756757,-34.90464284946236
-8.077094756756757,-34.90442877419355
-8.077094756756757,-34.90421469892473
-8.077094756756757,-34.90400062365591
-8.077094756756757,-34.903786548387096
-8.077094756756757,-34.90357247311828
-8.077094756756757,-34.90335839784946
-8.077094756756757,-34.903144322580644
-8.077094756756757,-34.90293024731183
-8.077094756756757,-34.90271617204301
-8.077094756756757,-34.90250209677419
-8.077094756756757,-34.90228802150538
-8.077094756756757,-34.902073946236555
-8.077094756756757,-34.90185987096774
-8.077094756756757,-34.901645795698926
-8.077094756756757,-34.90143172043011
-8.077094756756757,-34.90121764516129
-8.077094756756757,-34.901003569892474
-8.077094756756757,-34.90078949462366
-8.077094756756757,-34.90057541935484
-8.077094756756757,-34.90036134408602
-8.077094756756757,-34.90014726881721
-8.077094756756757,-34.899933193548385
-8.077094756756757,-34.89971911827957
-8.077094756756757,-34.899505043010755
-8.077094756756757,-34.89929096774193
-8.077094756756757,-34.89907689247312
-8.077094756756757,-34.898862817204304
-8.077094756756757,-34.89864874193548
-8.077094756756757,-34.89843466666667
-8.077094756756757,-34.89822059139785
-8.077094756756757,-34.89800651612903
-8.077094756756757,-34.897792440860215
-8.077094756756757,-34.8975783655914
-8.077094756756757,-34.89736429032258
-8.077094756756757,-34.89715021505376
-8.077094756756757,-34.89693613978495
-8.077094756756757,-34.896722064516126
-8.077094756756757,-34.89650798924731
-8.077094756756757,-34.8962939139785
-8.077094756756757,-34.896079838709674
-8.077094756756757,-34.89586576344086
-8.077094756756757,-34.895651688172045
-8.077094756756757,-34.89543761290322
-8.077094756756757,-34.89522353763441
-8.077094756756757,-34.89500946236559
-8.077094756756757,-34.89479538709678
-8.077094756756757,-34.894581311827956
-8.077094756756757,-34.89436723655914
-8.077094756756757,-34.894153161290326
-8.077094756756757,-34.893939086021504
-8.077094756756757,-34.89372501075269
-8.077094756756757,-34.893510935483874
-8.077094756756757,-34.89329686021505
-8.077094756756757,-34.89308278494624
-8.077094756756757,-34.89286870967742
-8.077094756756757,-34.8926546344086
-8.077094756756757,-34.892440559139786
-8.077094756756757,-34.89222648387097
-8.077094756756757,-34.89201240860215
-8.077094756756757,-34.891798333333334
-8.077094756756757,-34.89158425806452
-8.077094756756757,-34.8913701827957
-8.077094756756757,-34.89115610752688
-8.077094756756757,-34.89094203225807
-8.077094756756757,-34.890727956989245
-8.077094756756757,-34.89051388172043
-8.077094756756757,-34.890299806451615
-8.077094756756757,-34.89008573118279
-8.077094756756757,-34.88987165591398
-8.077094756756757,-34.889657580645164
-8.077094756756757,-34.88944350537634
-8.077094756756757,-34.88922943010753
-8.077094756756757,-34.88901535483871
-8.077094756756757,-34.88880127956989
-8.077094756756757,-34.888587204301075
-8.077094756756757,-34.88837312903226
-8.077094756756757,-34.888159053763445
-8.077094756756757,-34.88794497849462
-8.077094756756757,-34.88773090322581
-8.077094756756757,-34.88751682795699
-8.077094756756757,-34.88730275268817
-8.077094756756757,-34.88708867741936
-8.077094756756757,-34.88687460215054
-8.077094756756757,-34.88666052688172
-8.077094756756757,-34.886446451612905
-8.077094756756757,-34.88623237634409
-8.077094756756757,-34.88601830107527
-8.077094756756757,-34.88580422580645
-8.077094756756757,-34.88559015053764
-8.077094756756757,-34.885376075268816
-8.076944342342342,-34.905071
-8.076944342342342,-34.904856924731185
-8.076944342342342,-34.90464284946236
-8.076944342342342,-34.90442877419355
-8.076944342342342,-34.90421469892473
-8.076944342342342,-34.90400062365591
-8.076944342342342,-34.903786548387096
-8.076944342342342,-34.90357247311828
-8.076944342342342,-34.90335839784946
-8.076944342342342,-34.903144322580644
-8.076944342342342,-34.90293024731183
-8.076944342342342,-34.90271617204301
-8.076944342342342,-34.90250209677419
-8.076944342342342,-34.90228802150538
-8.076944342342342,-34.902073946236555
-8.076944342342342,-34.90185987096774
-8.076944342342342,-34.901645795698926
-8.076944342342342,-34.90143172043011
-8.076944342342342,-34.90121764516129
-8.076944342342342,-34.901003569892474
-8.076944342342342,-34.90078949462366
-8.076944342342342,-34.90057541935484
-8.076944342342342,-34.90036134408602
-8.076944342342342,-34.90014726881721
-8.076944342342342,-34.899933193548385
-8.076944342342342,-34.89971911827957
-8.076944342342342,-34.899505043010755
-8.076944342342342,-34.89929096774193
-8.076944342342342,-34.89907689247312
-8.076944342342342,-34.898862817204304
-8.076944342342342,-34.89864874193548
-8.076944342342342,-34.89843466666667
-8.076944342342342,-34.89822059139785
-8.076944342342342,-34.89800651612903
-8.076944342342342,-34.897792440860215
-8.076944342342342,-34.8975783655914
-8.076944342342342,-34.89736429032258
-8.076944342342342,-34.89715021505376
-8.076944342342342,-34.89693613978495
-8.076944342342342,-34.896722064516126
-8.076944342342342,-34.89650798924731
-8.076944342342342,-34.8962939139785
-8.076944342342342,-34.896079838709674
-8.076944342342342,-34.89586576344086
-8.076944342342342,-34.895651688172045
-8.076944342342342,-34.89543761290322
-8.076944342342342,-34.89522353763441
-8.076944342342342,-34.89500946236559
-8.076944342342342,-34.89479538709678
-8.076944342342342,-34.894581311827956
-8.076944342342342,-34.89436723655914
-8.076944342342342,-34.894153161290326
-8.076944342342342,-34.893939086021504
-8.076944342342342,-34.89372501075269
-8.076944342342342,-34.893510935483874
-8.076944342342342,-34.89329686021505
-8.076944342342342,-34.89308278494624
-8.076944342342342,-34.89286870967742
-8.076944342342342,-34.8926546344086
-8.076944342342342,-34.892440559139786
-8.076944342342342,-34.89222648387097
-8.076944342342342,-34.89201240860215
-8.076944342342342,-34.891798333333334
-8.076944342342342,-34.89158425806452
-8.076944342342342,-34.8913701827957
-8.076944342342342,-34.89115610752688
-8.076944342342342,-34.89094203225807
-8.076944342342342,-34.890727956989245
-8.076944342342342,-34.89051388172043
-8.076944342342342,-34.890299806451615
-8.076944342342342,-34.89008573118279
-8.076944342342342,-34.88987165591398
-8.076944342342342,-34.889657580645164
-8.076944342342342,-34.88944350537634
-8.076944342342342,-34.88922943010753
-8.076944342342342,-34.88901535483871
-8.076944342342342,-34.88880127956989
-8.076944342342342,-34.888587204301075
-8.076944342342342,-34.88837312903226
-8.076944342342342,-34.888159053763445
-8.076944342342342,-34.88794497849462
-8.076944342342342,-34.88773090322581
-8.076944342342342,-34.88751682795699
-8.076944342342342,-34.88730275268817
-8.076944342342342,-34.88708867741936
-8.076944342342342,-34.88687460215054
-8.076944342342342,-34.88666052688172
-8.076944342342342,-34.886446451612905
-8.076944342342342,-34.88623237634409
-8.076944342342342,-34.88601830107527
-8.076944342342342,-34.88580422580645
-8.076944342342342,-34.88559015053764
-8.076944342342342,-34.885376075268816
-8.076793927927929,-34.905071
-8.076793927927929,-34.904856924731185
-8.076793927927929,-34.90464284946236
-8.076793927927929,-34.90442877419355
-8.076793927927929,-34.90421469892473
-8.076793927927929,-34.90400062365591
-8.076793927927929,-34.903786548387096
-8.076793927927929,-34.90357247311828
-8.076793927927929,-34.90335839784946
-8.076793927927929,-34.903144322580644
-8.076793927927929,-34.90293024731183
-8.076793927927929,-34.90271617204301
-8.076793927927929,-34.90250209677419
-8.076793927927929,-34.90228802150538
-8.076793927927929,-34.902073946236555
-8.076793927927929,-34.90185987096774
-8.076793927927929,-34.901645795698926
-8.076793927927929,-34.90143172043011
-8.076793927927929,-34.90121764516129
-8.076793927927929,-34.901003569892474
-8.076793927927929,-34.90078949462366
-8.076793927927929,-34.90057541935484
-8.076793927927929,-34.90036134408602
-8.076793927927929,-34.90014726881721
-8.076793927927929,-34.899933193548385
-8.076793927927929,-34.89971911827957
-8.076793927927929,-34.899505043010755
-8.076793927927929,-34.89929096774193
-8.076793927927929,-34.89907689247312
-8.076793927927929,-34.898862817204304
-8.076793927927929,-34.89864874193548
-8.076793927927929,-34.89843466666667
-8.076793927927929,-34.89822059139785
-8.076793927927929,-34.89800651612903
-8.076793927927929,-34.897792440860215
-8.076793927927929,-34.8975783655914
-8.076793927927929,-34.89736429032258
-8.076793927927929,-34.89715021505376
-8.076793927927929,-34.89693613978495
-8.076793927927929,-34.896722064516126
-8.076793927927929,-34.89650798924731
-8.076793927927929,-34.8962939139785
-8.076793927927929,-34.896079838709674
-8.076793927927929,-34.89586576344086
-8.076793927927929,-34.895651688172045
-8.076793927927929,-34.89543761290322
-8.076793927927929,-34.89522353763441
-8.076793927927929,-34.89500946236559
-8.076793927927929,-34.89479538709678
-8.076793927927929,-34.894581311827956
-8.076793927927929,-34.89436723655914
-8.076793927927929,-34.894153161290326
-8.076793927927929,-34.893939086021504
-8.076793927927929,-34.89372501075269
-8.076793927927929,-34.893510935483874
-8.076793927927929,-34.89329686021505
-8.076793927927929,-34.89308278494624
-8.076793927927929,-34.89286870967742
-8.076793927927929,-34.8926546344086
-8.076793927927929,-34.892440559139786
-8.076793927927929,-34.89222648387097
-8.076793927927929,-34.89201240860215
-8.076793927927929,-34.891798333333334
-8.076793927927929,-34.89158425806452
-8.076793927927929,-34.8913701827957
-8.076793927927929,-34.89115610752688
-8.076793927927929,-34.89094203225807
-8.076793927927929,-34.890727956989245
-8.076793927927929,-34.89051388172043
-8.076793927927929,-34.890299806451615
-8.076793927927929,-34.89008573118279
-8.076793927927929,-34.88987165591398
-8.076793927927929,-34.889657580645164
-8.076793927927929,-34.88944350537634
-8.076793927927929,-34.88922943010753
-8.076793927927929,-34.88901535483871
-8.076793927927929,-34.88880127956989
-8.076793927927929,-34.888587204301075
-8.076793927927929,-34.88837312903226
-8.076793927927929,-34.888159053763445
-8.076793927927929,-34.88794497849462
-8.076793927927929,-34.88773090322581
-8.076793927927929,-34.88751682795699
-8.076793927927929,-34.88730275268817
-8.076793927927929,-34.88708867741936
-8.076793927927929,-34.88687460215054
-8.076793927927929,-34.88666052688172
-8.076793927927929,-34.886446451612905
-8.076793927927929,-34.88623237634409
-8.076793927927929,-34.88601830107527
-8.076793927927929,-34.88580422580645
-8.076793927927929,-34.88559015053764
-8.076793927927929,-34.885376075268816
-8.076643513513513,-34.905071
-8.076643513513513,-34.904856924731185
-8.076643513513513,-34.90464284946236
-8.076643513513513,-34.90442877419355
-8.076643513513513,-34.90421469892473
-8.076643513513513,-34.90400062365591
-8.076643513513513,-34.903786548387096
-8.076643513513513,-34.90357247311828
-8.076643513513513,-34.90335839784946
-8.076643513513513,-34.903144322580644
-8.076643513513513,-34.90293024731183
-8.076643513513513,-34.90271617204301
-8.076643513513513,-34.90250209677419
-8.076643513513513,-34.90228802150538
-8.076643513513513,-34.902073946236555
-8.076643513513513,-34.90185987096774
-8.076643513513513,-34.901645795698926
-8.076643513513513,-34.90143172043011
-8.076643513513513,-34.90121764516129
-8.076643513513513,-34.901003569892474
-8.076643513513513,-34.90078949462366
-8.076643513513513,-34.90057541935484
-8.076643513513513,-34.90036134408602
-8.076643513513513,-34.90014726881721
-8.076643513513513,-34.899933193548385
-8.076643513513513,-34.89971911827957
-8.076643513513513,-34.899505043010755
-8.076643513513513,-34.89929096774193
-8.076643513513513,-34.89907689247312
-8.076643513513513,-34.898862817204304
-8.076643513513513,-34.89864874193548
-8.076643513513513,-34.89843466666667
-8.076643513513513,-34.89822059139785
-8.076643513513513,-34.89800651612903
-8.076643513513513,-34.897792440860215
-8.076643513513513,-34.8975783655914
-8.076643513513513,-34.89736429032258
-8.076643513513513,-34.89715021505376
-8.076643513513513,-34.89693613978495
-8.076643513513513,-34.896722064516126
-8.076643513513513,-34.89650798924731
-8.076643513513513,-34.8962939139785
-8.076643513513513,-34.896079838709674
-8.076643513513513,-34.89586576344086
-8.076643513513513,-34.895651688172045
-8.076643513513513,-34.89543761290322
-8.076643513513513,-34.89522353763441
-8.076643513513513,-34.89500946236559
-8.076643513513513,-34.89479538709678
-8.076643513513513,-34.894581311827956
-8.076643513513513,-34.89436723655914
-8.076643513513513,-34.894153161290326
-8.076643513513513,-34.893939086021504
-8.076643513513513,-34.89372501075269
-8.076643513513513,-34.893510935483874
-8.076643513513513,-34.89329686021505
-8.076643513513513,-34.89308278494624
-8.076643513513513,-34.89286870967742
-8.076643513513513,-34.8926546344086
-8.076643513513513,-34.892440559139786
-8.076643513513513,-34.89222648387097
-8.076643513513513,-34.89201240860215
-8.076643513513513,-34.891798333333334
-8.076643513513513,-34.89158425806452
-8.076643513513513,-34.8913701827957
-8.076643513513513,-34.89115610752688
-8.076643513513513,-34.89094203225807
-8.076643513513513,-34.890727956989245
-8.076643513513513,-34.89051388172043
-8.076643513513513,-34.890299806451615
-8.076643513513513,-34.89008573118279
-8.076643513513513,-34.88987165591398
-8.076643513513513,-34.889657580645164
-8.076643513513513,-34.88944350537634
-8.076643513513513,-34.88922943010753
-8.076643513513513,-34.88901535483871
-8.076643513513513,-34.88880127956989
-8.076643513513513,-34.888587204301075
-8.076643513513513,-34.88837312903226
-8.076643513513513,-34.888159053763445
-8.076643513513513,-34.88794497849462
-8.076643513513513,-34.88773090322581
-8.076643513513513,-34.88751682795699
-8.076643513513513,-34.88730275268817
-8.076643513513513,-34.88708867741936
-8.076643513513513,-34.88687460215054
-8.076643513513513,-34.88666052688172
-8.076643513513513,-34.886446451612905
-8.076643513513513,-34.88623237634409
-8.076643513513513,-34.88601830107527
-8.076643513513513,-34.88580422580645
-8.076643513513513,-34.88559015053764
-8.076643513513513,-34.885376075268816
-8.0764930990991,-34.905071
-8.0764930990991,-34.904856924731185
-8.0764930990991,-34.90464284946236
-8.0764930990991,-34.90442877419355
-8.0764930990991,-34.90421469892473
-8.0764930990991,-34.90400062365591
-8.0764930990991,-34.903786548387096
-8.0764930990991,-34.90357247311828
-8.0764930990991,-34.90335839784946
-8.0764930990991,-34.903144322580644
-8.0764930990991,-34.90293024731183
-8.0764930990991,-34.90271617204301
-8.0764930990991,-34.90250209677419
-8.0764930990991,-34.90228802150538
-8.0764930990991,-34.902073946236555
-8.0764930990991,-34.90185987096774
-8.0764930990991,-34.901645795698926
-8.0764930990991,-34.90143172043011
-8.0764930990991,-34.90121764516129
-8.0764930990991,-34.901003569892474
-8.0764930990991,-34.90078949462366
-8.0764930990991,-34.90057541935484
-8.0764930990991,-34.90036134408602
-8.0764930990991,-34.90014726881721
-8.0764930990991,-34.899933193548385
-8.0764930990991,-34.89971911827957
-8.0764930990991,-34.899505043010755
-8.0764930990991,-34.89929096774193
-8.0764930990991,-34.89907689247312
-8.0764930990991,-34.898862817204304
-8.0764930990991,-34.89864874193548
-8.0764930990991,-34.89843466666667
-8.0764930990991,-34.89822059139785
-8.0764930990991,-34.89800651612903
-8.0764930990991,-34.897792440860215
-8.0764930990991,-34.8975783655914
-8.0764930990991,-34.89736429032258
-8.0764930990991,-34.89715021505376
-8.0764930990991,-34.89693613978495
-8.0764930990991,-34.896722064516126
-8.0764930990991,-34.89650798924731
-8.0764930990991,-34.8962939139785
-8.0764930990991,-34.896079838709674
-8.0764930990991,-34.89586576344086
-8.0764930990991,-34.895651688172045
-8.0764930990991,-34.89543761290322
-8.0764930990991,-34.89522353763441
-8.0764930990991,-34.89500946236559
-8.0764930990991,-34.89479538709678
-8.0764930990991,-34.894581311827956
-8.0764930990991,-34.89436723655914
-8.0764930990991,-34.894153161290326
-8.0764930990991,-34.893939086021504
-8.0764930990991,-34.89372501075269
-8.0764930990991,-34.893510935483874
-8.0764930990991,-34.89329686021505
-8.0764930990991,-34.89308278494624
-8.0764930990991,-34.89286870967742
-8.0764930990991,-34.8926546344086
-8.0764930990991,-34.892440559139786
-8.0764930990991,-34.89222648387097
-8.0764930990991,-34.89201240860215
-8.0764930990991,-34.891798333333334
-8.0764930990991,-34.89158425806452
-8.0764930990991,-34.8913701827957
-8.0764930990991,-34.89115610752688
-8.0764930990991,-34.89094203225807
-8.0764930990991,-34.890727956989245
-8.0764930990991,-34.89051388172043
-8.0764930990991,-34.890299806451615
-8.0764930990991,-34.89008573118279
-8.0764930990991,-34.88987165591398
-8.0764930990991,-34.889657580645164
-8.0764930990991,-34.88944350537634
-8.0764930990991,-34.88922943010753
-8.0764930990991,-34.88901535483871
-8.0764930990991,-34.88880127956989
-8.0764930990991,-34.888587204301075
-8.0764930990991,-34.88837312903226
-8.0764930990991,-34.888159053763445
-8.0764930990991,-34.88794497849462
-8.0764930990991,-34.88773090322581
-8.0764930990991,-34.88751682795699
-8.0764930990991,-34.88730275268817
-8.0764930990991,-34.88708867741936
-8.0764930990991,-34.88687460215054
-8.0764930990991,-34.88666052688172
-8.0764930990991,-34.886446451612905
-8.0764930990991,-34.88623237634409
-8.0764930990991,-34.88601830107527
-8.0764930990991,-34.88580422580645
-8.0764930990991,-34.88559015053764
-8.0764930990991,-34.885376075268816
-8.076342684684684,-34.905071
-8.076342684684684,-34.904856924731185
-8.076342684684684,-34.90464284946236
-8.076342684684684,-34.90442877419355
-8.076342684684684,-34.90421469892473
-8.076342684684684,-34.90400062365591
-8.076342684684684,-34.903786548387096
-8.076342684684684,-34.90357247311828
-8.076342684684684,-34.90335839784946
-8.076342684684684,-34.903144322580644
-8.076342684684684,-34.90293024731183
-8.076342684684684,-34.90271617204301
-8.076342684684684,-34.90250209677419
-8.076342684684684,-34.90228802150538
-8.076342684684684,-34.902073946236555
-8.076342684684684,-34.90185987096774
-8.076342684684684,-34.901645795698926
-8.076342684684684,-34.90143172043011
-8.076342684684684,-34.90121764516129
-8.076342684684684,-34.901003569892474
-8.076342684684684,-34.90078949462366
-8.076342684684684,-34.90057541935484
-8.076342684684684,-34.90036134408602
-8.076342684684684,-34.90014726881721
-8.076342684684684,-34.899933193548385
-8.076342684684684,-34.89971911827957
-8.076342684684684,-34.899505043010755
-8.076342684684684,-34.89929096774193
-8.076342684684684,-34.89907689247312
-8.076342684684684,-34.898862817204304
-8.076342684684684,-34.89864874193548
-8.076342684684684,-34.89843466666667
-8.076342684684684,-34.89822059139785
-8.076342684684684,-34.89800651612903
-8.076342684684684,-34.897792440860215
-8.076342684684684,-34.8975783655914
-8.076342684684684,-34.89736429032258
-8.076342684684684,-34.89715021505376
-8.076342684684684,-34.89693613978495
-8.076342684684684,-34.896722064516126
-8.076342684684684,-34.89650798924731
-8.076342684684684,-34.8962939139785
-8.076342684684684,-34.896079838709674
-8.076342684684684,-34.89586576344086
-8.076342684684684,-34.895651688172045
-8.076342684684684,-34.89543761290322
-8.076342684684684,-34.89522353763441
-8.076342684684684,-34.89500946236559
-8.076342684684684,-34.89479538709678
-8.076342684684684,-34.894581311827956
